Common,Scientific,Source,Family,Order,Class,Tropical,Climate,Continent,Lit_confirmed,BLAST,Thiaminase,Marine,Habitat,Benthic,Benthopelagic,Pelagic,Invasive,Salt,TL_fooditems,MaxTL,MaxAge,Omega3,Habitat2,Benthic,Benthopelagic,Pelagic,Invasive,Salt,TL_fooditems,MaxTL,MaxAge,Omega3
Californian Anchovy,Engraulis mordax,Greig and Gnaedinger 1971,Engraulidae,Clupeiformes,Actinopteri,0,Subtropical,North America,1,NA,1,1,PE,0,0,1,0,TL,3.1,24.8,7,0.989,BE,1,0,0,0,TL,4.2,63.5,5,0.75
Giant Grouper,Epinephelus lanceolatus,BLAST,Serranidae,Perciformes,Actinopteri,1,Tropical,Indo-Pacific,0,1,0,1,BE,1,0,0,0,TL,4,270,NA,0.2,BE,1,0,0,0,TL,4.5,76,12,0.277
Streamline Chub,Erimystax dissimilis,Boggs et al. 2019,Leuciscidae,Cypriniformes ,Actinopteri,0,Temperate,North America,1,NA,1,0,BE,1,0,0,0,IN,2.9,14,NA,NA,BE,1,0,0,0,TL,3.2,60,25,0.335
Reedfish,Erpetoichthys calabaricus,BLAST,Polypteridae,Polypteriformes,Cladistii,1,Tropical,Africa,0,1,0,0,BE,1,0,0,0,TL,3.3,37,NA,NA,BE,1,0,0,0,TL,3.3,64,12,0.343
Northern Pike,Esox lucius,"BLAST, Greig and Gnaedinger 1971",Esocidae,Esociformes,Actinopteri,0,Subtropical,North America,1,1,0,0,BP,0,1,0,1,TL,4.1,137,30,0.632,BP,0,1,0,0,IN,3.1,3.8,5.5,NA
Greenside Darter,Etheostoma blennioides,Boggs et al. 2019,Percidae,Perciformes,Actinopteri,0,Temperate,North America,1,NA,0,0,BP,0,1,0,0,IN,3.4,17,5,NA,BP,0,1,0,0,IN,2.9,9.7,NA,NA
Arkansas Darter,Etheostoma cragini,BLAST,Percidae,Perciformes,Actinopteri,0,Subtropical,North America,0,1,0,0,BP,0,1,0,0,IN,3.2,6,3,NA,BP,0,1,0,0,IN,NA,26.5,NA,NA
Fantail Darter,Etheostoma flabellare,Kraft et al. 2014,Percidae,Perciformes,Actinopteri,0,Temperate,North America,1,NA,0,0,BP,0,1,0,0,IN,3.2,8.4,4,NA,BP,0,1,0,0,IN,NA,13.3,NA,NA
Tessellated Darter,Etheostoma olmstedi,"Boggs et al. 2019, Kraft et al. 2014",Percidae,Perciformes,Actinopteri,0,Temperate,North America,1,NA,0,0,BP,0,1,0,0,IN,2.9,11,4,NA,BP,0,1,0,0,TL,2.2,200,10,0.351
Orangethroat Darter,Etheostoma spectabile,BLAST,Percidae,Perciformes,Actinopteri,0,Temperate,North America,0,1,0,0,BP,0,1,0,0,IN,3.3,7.2,NA,NA,BP,0,1,0,0,IN,2.9,10,NA,NA
Banded Darter,Etheostoma zonale,Boggs et al. 2019,Percidae,Perciformes,Actinopteri,0,Temperate,North America,1,NA,0,0,BP,0,1,0,0,IN,3.3,7.8,4,NA,BP,0,1,0,0,IN,2.9,7,NA,NA
Sand-Table Dwarfgoby,Eviota abax,Fujita 1954,Gobiidae,Gobiiformes,Actinopteri,0,Temperate,Asia,1,NA,1,1,BE,1,0,0,0,TL,3.2,4,NA,NA,BP,0,1,0,0,IN,3.2,15.6,NA,NA
Cutlip Minnow,Exoglossum maxillingua,"Boggs et al. 2019, Kraft et al. 2014",Leuciscidae,Cypriniformes ,Actinopteri,0,Temperate,North America,1,NA,1,0,BE,1,0,0,0,IN,3,16,2,NA,BP,0,1,0,0,IN,3.1,130,NA,0.16
Red Cornet Fish,Fistularia petimba,Nishimune et al. 2008,Fistulariidae,Syngnathiformes,Actinopteri,1,Tropical,Worldwide,1,NA,1,1,BE,1,0,0,0,TL,4.4,200,NA,0.211,BE,1,0,0,0,IN,3.5,34.5,NA,NA
Banded Killifish,Fundulus diaphanus,"Boggs et al. 2019, Kraft et al. 2014, Nielands 1947",Fundulidae,Cyprinodontiformes,Actinopteri,0,Temperate,North America,1,NA,1,0,BP,0,1,0,0,TL,3.3,13,NA,NA,BP,0,1,0,0,IN,2,108,NA,0.204
Mummichog,Fundulus heteroclitus,"BLAST, Nielands 1947",Fundulidae,Cyprinodontiformes,Actinopteri,0,Temperate,North America,1,1,1,1,BP,0,1,0,1,TL,3.6,15,4,1.55,BE,1,0,0,0,IN,3.7,130,NA,0.238
Cod,Gadus morhua,"BLAST, Greig and Gnaedinger 1971, Nielands 1947",Gadidae,Gadiformes,Actinopteri,0,Temperate,Worldwide,1,1,0,1,BP,0,1,0,0,TL,4.1,200,25,0.953,PE,0,0,1,0,IN,3.7,50,NA,0.572
Hardhead Sea Catfish,Ariopsis felis,Greig and Gnaedinger 1971,Ariidae,Siluriformes,Actinopteri,0,Subtropical,North America,1,NA,0,1,BE,1,0,0,0,TL,3.2,70,NA,0.259,BP,0,1,0,0,IN,3.2,12,NA,NA
Mosquitofish,Gambusia affinis,BLAST,Poeciliidae,Cyprinodontiformes,Actinopteri,0,Subtropical,Worldwide,0,1,1,0,BP,0,1,0,1,TL,3.1,5.1,3,NA,BP,0,1,0,0,TL,2.4,180,15,0.248
Three-Spined Stickleback,Gasterosteus aculeatus,"BLAST, Wistbacka and Bylund 2008",Gasterosteidae,Perciformes,Actinopteri,0,Subtropical,Worldwide,1,1,0,1,BP,0,1,0,0,TL,3.3,11,8,0.997,BE,1,0,0,0,IN,4.2,114,NA,NA
